Team,Average speed
STEALTH7 ESPORTS,1626
STAY FRESH,1598
TRIPLE TROUBLE,1596
TEAM LIQUID,1581
TOP BLOKES,1580
ILLUSION,1576
ALPHA,1573
YOU CHOOSE PESCE,1571
OXYGEN ESPORTS,1570
TEAM NAME,1570
MINKZ GAMING,1570
3 MUSKETEERS,1568
BARCA ESPORTS,1567
STORMTROOPERS,1566
GUILD,1566
TEAM VITALITY,1563
REDEMPTION,1563
TEAM QUESO,1560
TRAINHARD ESPORT,1556
GALAXY RACER,1556
HOLY COW!,1553
MAGNIFICO,1552
GLORY4BUILDERS,1552
GAME FIST,1552
TEAM SINGULARITY,1552
SAUCE SQUAD,1552
RENAULT VITALITY,1549
TEAM ORANGE,1549
CHALKED,1549
WHITE DEMONS,1549
GODSMILLA'S TEAM,1548
EDELWEISS,1545
GAMEUP,1545
TEAM BDS,1544
DENIED,1543
PIRATES,1543
VENC GAMING,1542
THE CURLING KIDS,1542
DRIFTERS,1541
BARRAGE,1539
RIXGG,1539
DIGNITAS,1538
WYLDE,1538
PION,1537
ATLANTIDE WAVE,1537
ENDPOINT CEX,1535
S2V ESPORTS,1533
FIERCE ESPORTS,1533
ENDPOINT,1530
RIX.GG,1530
GERMAN AMIGOS,1527
AETHER,1523
ESPORTS BERG,1521
KCAI,1516
FADEAWAY,1515
NORDAVIND DNB,1511
VODAFONE GIANTS,1508
HOWARD,1508
NUMB THUMB DUMB,1503
TLR ESPORTS,1501
TEAM OPLON,1501
LIBERTAS,1495
THE WOO,1491
MONKEYS,1446
SOLARY,1438
WOLVES ESPORTS,1332
